Row Labels,Team,2021 Average of xReboundsFor,2021 Average of shotsOnGoalFor,2021 Average of blockedShotAttemptsFor,2021 Average of goalsFor,2021 Average of savedShotsOnGoalFor,2021 Average of penaltiesFor,2021 Average of penalityMinutesFor,2021 Average of xReboundsAgainst,2021 Average of shotsOnGoalAgainst,2021 Average of blockedShotAttemptsAgainst,2021 Average of goalsAgainst,2021 Average of savedShotsOnGoalAgainst,2021 Average of penaltiesAgainst,2021 Average of penalityMinutesAgainst
2021,ANA,2.028705882,31.35294118,13.70588235,3.529411765,27.82352941,3.294117647,7.647058824,2.128058824,32.41176471,14.47058824,2.647058824,29.76470588,3.823529412,9
2021,ARI,1.6635625,24.9375,10.8125,1.625,23.3125,4.4375,10.75,2.1854375,31.375,13.1875,3.8125,27.5625,3.6875,9.9375
2021,BOS,2.224384615,35.38461538,12,3.076923077,32.30769231,3.615384615,7.692307692,1.806923077,28.07692308,12.69230769,2.846153846,25.23076923,3.692307692,7.692307692
2021,BUF,1.833666667,28.6,10.93333333,2.933333333,25.66666667,3.466666667,7.533333333,2.131733333,32.86666667,11.53333333,2.933333333,29.93333333,3.133333333,7
2021,CAR,2.320142857,33.85714286,15,3.5,30.35714286,4.428571429,9.214285714,2.038571429,27.92857143,11.57142857,1.928571429,26,3.857142857,8.285714286
2021,CBJ,2.142923077,30.69230769,14.61538462,3.230769231,27.46153846,3.384615385,7.384615385,2.345230769,34.15384615,13,3.076923077,31.07692308,3.384615385,7.230769231
2021,CGY,2.2455625,34.6875,14.6875,3.0625,31.625,4,8.9375,2.03475,29.6875,11.5,2.125,27.5625,3.9375,8.8125
2021,CHI,1.8665625,28.5625,13.8125,2.25,26.3125,3.5625,8.125,2.1225,31.875,15.4375,3.3125,28.5625,4.125,9.375
2021,COL,2.244692308,32.07692308,16.53846154,3.538461538,28.53846154,3.461538462,7.846153846,2.014230769,31.84615385,15.07692308,3.153846154,28.69230769,4.461538462,10.46153846
2021,DAL,1.978428571,29.71428571,13.35714286,2.571428571,27.14285714,3.428571429,7.285714286,2.128785714,31,15.35714286,3,28,2.928571429,6.071428571
2021,DET,2.004111111,29.16666667,11.22222222,2.833333333,26.33333333,3.888888889,8.388888889,2.391,34.22222222,14.77777778,3.333333333,30.88888889,3.611111111,7.722222222
2021,EDM,2.249333333,32.86666667,15,4,28.86666667,3.266666667,6.866666667,2.2712,33.6,11.2,3.133333333,30.46666667,3.333333333,6.866666667
2021,FLA,2.3269375,34.6875,14.8125,3.875,30.8125,3.9375,8.625,2.1109375,30.5625,12.375,2.5,28.0625,3.6875,8.125
2021,L.A,2.3560625,34.25,14.0625,2.5625,31.6875,3.1875,6.75,2.1235625,30.5625,13.8125,2.4375,28.125,3.875,8.3125
